industry,job_title,level,years_of_experience,skills,certifications,ai_training_corpus
Product Management,Senior Product Manager,Senior,7,"['Roadmapping', 'A/B Testing', 'Product Strategy', 'User Research', 'Market Analysis', 'Agile', 'Scrum', 'JIRA']",['Certified Scrum Product Owner (CSPO)'],"Job Title: Senior Product Manager Job Title: Senior Product Manager Job Title: Senior Product Manager Career Level: Senior Career Level: Senior Industry: Product Management Industry: Product Management Years of Experience: approximately 7 years. Key Skills: Roadmapping, A/B Testing, Product Strategy, User Research, Market Analysis, Agile, Scrum, JIRA. Key Skills: Roadmapping, A/B Testing, Product Strategy, User Research, Market Analysis, Agile, Scrum, JIRA. Key Skills: Roadmapping, A/B Testing, Product Strategy, User Research, Market Analysis, Agile, Scrum, JIRA. Relevant Certifications: Certified Scrum Product Owner (CSPO). "
Cybersecurity,Security Analyst,Mid-Level,5,"['Ethical Hacking', 'Intrusion Detection', 'Malware Analysis', 'ISO 27001', 'Network Security']",[],"Job Title: Security Analyst Job Title: Security Analyst Job Title: Security Analyst Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 5 years. Key Skills: Ethical Hacking, Intrusion Detection, Malware Analysis, ISO 27001, Network Security. Key Skills: Ethical Hacking, Intrusion Detection, Malware Analysis, ISO 27001, Network Security. Key Skills: Ethical Hacking, Intrusion Detection, Malware Analysis, ISO 27001, Network Security. "
Product Management,Senior Product Manager,Senior,7,"['Scrum', 'Product Strategy', 'Market Analysis', 'Roadmapping', 'Agile']",['Certified Scrum Product Owner (CSPO)'],"Job Title: Senior Product Manager Job Title: Senior Product Manager Job Title: Senior Product Manager Career Level: Senior Career Level: Senior Industry: Product Management Industry: Product Management Years of Experience: approximately 7 years. Key Skills: Scrum, Product Strategy, Market Analysis, Roadmapping, Agile. Key Skills: Scrum, Product Strategy, Market Analysis, Roadmapping, Agile. Key Skills: Scrum, Product Strategy, Market Analysis, Roadmapping, Agile. Relevant Certifications: Certified Scrum Product Owner (CSPO). "
Product Management,Product Manager,Manager,9,"['Roadmapping', 'A/B Testing', 'Market Analysis', 'Agile', 'Product Strategy', 'JIRA', 'User Research', 'Scrum']",['Certified Scrum Product Owner (CSPO)'],"Job Title: Product Manager Job Title: Product Manager Job Title: Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 9 years. Key Skills: Roadmapping, A/B Testing, Market Analysis, Agile, Product Strategy, JIRA, User Research, Scrum. Key Skills: Roadmapping, A/B Testing, Market Analysis, Agile, Product Strategy, JIRA, User Research, Scrum. Key Skills: Roadmapping, A/B Testing, Market Analysis, Agile, Product Strategy, JIRA, User Research, Scrum. Relevant Certifications: Certified Scrum Product Owner (CSPO). "
Data Science,Senior Data Scientist,Senior,9,"['Spark', 'Pandas', 'NumPy', 'SQL', 'TensorFlow', 'Big Data', 'PyTorch']",[],"Job Title: Senior Data Scientist Job Title: Senior Data Scientist Job Title: Senior Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 9 years. Key Skills: Spark, Pandas, NumPy, SQL, TensorFlow, Big Data, PyTorch. Key Skills: Spark, Pandas, NumPy, SQL, TensorFlow, Big Data, PyTorch. Key Skills: Spark, Pandas, NumPy, SQL, TensorFlow, Big Data, PyTorch. "
Software Engineering,Principal Engineer,Lead/Principal,12,"['Microservices', 'Java', 'C++', 'Kubernetes', 'PostgreSQL', 'AWS', 'Docker']","['AWS Certified Developer', 'Certified Kubernetes Application Developer (CKAD)']","Job Title: Principal Engineer Job Title: Principal Engineer Job Title: Principal Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 12 years. Key Skills: Microservices, Java, C++, Kubernetes, PostgreSQL, AWS, Docker. Key Skills: Microservices, Java, C++, Kubernetes, PostgreSQL, AWS, Docker. Key Skills: Microservices, Java, C++, Kubernetes, PostgreSQL, AWS, Docker. Relevant Certifications: AWS Certified Developer, Certified Kubernetes Application Developer (CKAD). "
Software Engineering,Senior Software Engineer,Senior,7,"['C++', 'Microservices', 'JavaScript', 'Docker', 'Go', 'Python', 'MongoDB']","['Certified Kubernetes Application Developer (CKAD)', 'AWS Certified Developer']","Job Title: Senior Software Engineer Job Title: Senior Software Engineer Job Title: Senior Software Engineer Career Level: Senior Career Level: Senior Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 7 years. Key Skills: C++, Microservices, JavaScript, Docker, Go, Python, MongoDB. Key Skills: C++, Microservices, JavaScript, Docker, Go, Python, MongoDB. Key Skills: C++, Microservices, JavaScript, Docker, Go, Python, MongoDB. Relevant Certifications: Certified Kubernetes Application Developer (CKAD), AWS Certified Developer. "
Cloud Engineering,DevOps Engineer,Entry,0,"['Grafana', 'Kubernetes', 'Ansible', 'Terraform', 'Docker']",[],"Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 0 years. Key Skills: Grafana, Kubernetes, Ansible, Terraform, Docker. Key Skills: Grafana, Kubernetes, Ansible, Terraform, Docker. Key Skills: Grafana, Kubernetes, Ansible, Terraform, Docker. "
Data Science,Senior Data Scientist,Senior,8,"['Statistics', 'Machine Learning', 'PyTorch', 'Spark', 'TensorFlow']","['Google Professional Data Engineer', 'TensorFlow Developer Certificate']","Job Title: Senior Data Scientist Job Title: Senior Data Scientist Job Title: Senior Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 8 years. Key Skills: Statistics, Machine Learning, PyTorch, Spark, TensorFlow. Key Skills: Statistics, Machine Learning, PyTorch, Spark, TensorFlow. Key Skills: Statistics, Machine Learning, PyTorch, Spark, TensorFlow. Relevant Certifications: Google Professional Data Engineer, TensorFlow Developer Certificate. "
Product Management,Director of Product,Entry,0,"['JIRA', 'Product Strategy', 'Market Analysis', 'Scrum', 'User Research', 'A/B Testing', 'Roadmapping', 'Agile']",[],"Job Title: Director of Product Job Title: Director of Product Job Title: Director of Product Career Level: Entry Career Level: Entry Industry: Product Management Industry: Product Management Years of Experience: approximately 0 years. Key Skills: JIRA, Product Strategy, Market Analysis, Scrum, User Research, A/B Testing, Roadmapping, Agile. Key Skills: JIRA, Product Strategy, Market Analysis, Scrum, User Research, A/B Testing, Roadmapping, Agile. Key Skills: JIRA, Product Strategy, Market Analysis, Scrum, User Research, A/B Testing, Roadmapping, Agile. "
Software Engineering,Engineering Manager,Manager,8,"['System Design', 'React', 'Kubernetes', 'MongoDB', 'SQL', 'AWS', 'Java']",[],"Job Title: Engineering Manager Job Title: Engineering Manager Job Title: Engineering Manager Career Level: Manager Career Level: Manager Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 8 years. Key Skills: System Design, React, Kubernetes, MongoDB, SQL, AWS, Java. Key Skills: System Design, React, Kubernetes, MongoDB, SQL, AWS, Java. Key Skills: System Design, React, Kubernetes, MongoDB, SQL, AWS, Java. "
Cybersecurity,Cybersecurity Consultant,Mid-Level,5,"['Firewalls', 'Intrusion Detection', 'Malware Analysis', 'Network Security', 'Ethical Hacking', 'ISO 27001', 'SIEM', 'Cryptography']","['Certified Ethical Hacker (CEH)', 'CompTIA Security+']","Job Title: Cybersecurity Consultant Job Title: Cybersecurity Consultant Job Title: Cybersecurity Consultant Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 5 years. Key Skills: Firewalls, Intrusion Detection, Malware Analysis, Network Security, Ethical Hacking, ISO 27001, SIEM, Cryptography. Key Skills: Firewalls, Intrusion Detection, Malware Analysis, Network Security, Ethical Hacking, ISO 27001, SIEM, Cryptography. Key Skills: Firewalls, Intrusion Detection, Malware Analysis, Network Security, Ethical Hacking, ISO 27001, SIEM, Cryptography. Relevant Certifications: Certified Ethical Hacker (CEH), CompTIA Security+. "
Data Science,Senior Data Scientist,Senior,6,"['NumPy', 'SQL', 'Python', 'PyTorch', 'Pandas', 'Spark', 'Statistics', 'R']",[],"Job Title: Senior Data Scientist Job Title: Senior Data Scientist Job Title: Senior Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 6 years. Key Skills: NumPy, SQL, Python, PyTorch, Pandas, Spark, Statistics, R. Key Skills: NumPy, SQL, Python, PyTorch, Pandas, Spark, Statistics, R. Key Skills: NumPy, SQL, Python, PyTorch, Pandas, Spark, Statistics, R. "
Product Management,Product Manager,Manager,9,"['User Research', 'JIRA', 'Market Analysis', 'Agile', 'Scrum', 'Product Strategy', 'A/B Testing', 'Roadmapping']",[],"Job Title: Product Manager Job Title: Product Manager Job Title: Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 9 years. Key Skills: User Research, JIRA, Market Analysis, Agile, Scrum, Product Strategy, A/B Testing, Roadmapping. Key Skills: User Research, JIRA, Market Analysis, Agile, Scrum, Product Strategy, A/B Testing, Roadmapping. Key Skills: User Research, JIRA, Market Analysis, Agile, Scrum, Product Strategy, A/B Testing, Roadmapping. "
Cybersecurity,Security Analyst,Mid-Level,5,"['Network Security', 'Cryptography', 'SIEM', 'Firewalls']",[],"Job Title: Security Analyst Job Title: Security Analyst Job Title: Security Analyst Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 5 years. Key Skills: Network Security, Cryptography, SIEM, Firewalls. Key Skills: Network Security, Cryptography, SIEM, Firewalls. Key Skills: Network Security, Cryptography, SIEM, Firewalls. "
Data Science,Data Science Manager,Manager,18,"['Pandas', 'Spark', 'Python', 'Machine Learning', 'Data Mining', 'Scikit-learn']",[],"Job Title: Data Science Manager Job Title: Data Science Manager Job Title: Data Science Manager Career Level: Manager Career Level: Manager Industry: Data Science Industry: Data Science Years of Experience: approximately 18 years. Key Skills: Pandas, Spark, Python, Machine Learning, Data Mining, Scikit-learn. Key Skills: Pandas, Spark, Python, Machine Learning, Data Mining, Scikit-learn. Key Skills: Pandas, Spark, Python, Machine Learning, Data Mining, Scikit-learn. "
Software Engineering,Software Engineer,Entry,2,"['Microservices', 'AWS', 'Go', 'Python', 'Kubernetes', 'C++']","['AWS Certified Developer', 'Certified Kubernetes Application Developer (CKAD)']","Job Title: Software Engineer Job Title: Software Engineer Job Title: Software Engineer Career Level: Entry Career Level: Entry Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 2 years. Key Skills: Microservices, AWS, Go, Python, Kubernetes, C++. Key Skills: Microservices, AWS, Go, Python, Kubernetes, C++. Key Skills: Microservices, AWS, Go, Python, Kubernetes, C++. Relevant Certifications: AWS Certified Developer, Certified Kubernetes Application Developer (CKAD). "
Cybersecurity,Cybersecurity Consultant,Mid-Level,4,"['Network Security', 'SIEM', 'Ethical Hacking', 'Malware Analysis', 'Firewalls', 'Intrusion Detection', 'ISO 27001']","['CompTIA Security+', 'Certified Ethical Hacker (CEH)']","Job Title: Cybersecurity Consultant Job Title: Cybersecurity Consultant Job Title: Cybersecurity Consultant Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 4 years. Key Skills: Network Security, SIEM, Ethical Hacking, Malware Analysis, Firewalls, Intrusion Detection, ISO 27001. Key Skills: Network Security, SIEM, Ethical Hacking, Malware Analysis, Firewalls, Intrusion Detection, ISO 27001. Key Skills: Network Security, SIEM, Ethical Hacking, Malware Analysis, Firewalls, Intrusion Detection, ISO 27001. Relevant Certifications: CompTIA Security+, Certified Ethical Hacker (CEH). "
Cloud Engineering,Cloud Architect,Entry,2,"['Azure', 'Ansible', 'Grafana', 'AWS']","['Google Certified Professional Cloud Architect', 'Certified Kubernetes Administrator (CKA)']","Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: Azure, Ansible, Grafana, AWS. Key Skills: Azure, Ansible, Grafana, AWS. Key Skills: Azure, Ansible, Grafana, AWS. Relevant Certifications: Google Certified Professional Cloud Architect, Certified Kubernetes Administrator (CKA). "
Data Science,Data Scientist,Mid-Level,4,"['Big Data', 'PyTorch', 'Machine Learning', 'Spark', 'Scikit-learn', 'TensorFlow']","['Google Professional Data Engineer', 'TensorFlow Developer Certificate']","Job Title: Data Scientist Job Title: Data Scientist Job Title: Data Scientist Career Level: Mid-Level Career Level: Mid-Level Industry: Data Science Industry: Data Science Years of Experience: approximately 4 years. Key Skills: Big Data, PyTorch, Machine Learning, Spark, Scikit-learn, TensorFlow. Key Skills: Big Data, PyTorch, Machine Learning, Spark, Scikit-learn, TensorFlow. Key Skills: Big Data, PyTorch, Machine Learning, Spark, Scikit-learn, TensorFlow. Relevant Certifications: Google Professional Data Engineer, TensorFlow Developer Certificate. "
Software Engineering,Principal Engineer,Lead/Principal,13,"['AWS', 'Go', 'JavaScript', 'Python']",[],"Job Title: Principal Engineer Job Title: Principal Engineer Job Title: Principal Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 13 years. Key Skills: AWS, Go, JavaScript, Python. Key Skills: AWS, Go, JavaScript, Python. Key Skills: AWS, Go, JavaScript, Python. "
Data Science,Data Science Manager,Manager,7,"['Machine Learning', 'Python', 'NumPy', 'R']","['Google Professional Data Engineer', 'TensorFlow Developer Certificate']","Job Title: Data Science Manager Job Title: Data Science Manager Job Title: Data Science Manager Career Level: Manager Career Level: Manager Industry: Data Science Industry: Data Science Years of Experience: approximately 7 years. Key Skills: Machine Learning, Python, NumPy, R. Key Skills: Machine Learning, Python, NumPy, R. Key Skills: Machine Learning, Python, NumPy, R. Relevant Certifications: Google Professional Data Engineer, TensorFlow Developer Certificate. "
Data Science,Data Scientist,Mid-Level,2,"['R', 'Scikit-learn', 'Big Data', 'NumPy', 'TensorFlow', 'Machine Learning']",[],"Job Title: Data Scientist Job Title: Data Scientist Job Title: Data Scientist Career Level: Mid-Level Career Level: Mid-Level Industry: Data Science Industry: Data Science Years of Experience: approximately 2 years. Key Skills: R, Scikit-learn, Big Data, NumPy, TensorFlow, Machine Learning. Key Skills: R, Scikit-learn, Big Data, NumPy, TensorFlow, Machine Learning. Key Skills: R, Scikit-learn, Big Data, NumPy, TensorFlow, Machine Learning. "
Cybersecurity,Cybersecurity Consultant,Entry,0,"['Cryptography', 'Intrusion Detection', 'Network Security', 'Ethical Hacking']",['Certified Ethical Hacker (CEH)'],"Job Title: Cybersecurity Consultant Job Title: Cybersecurity Consultant Job Title: Cybersecurity Consultant Career Level: Entry Career Level: Entry Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 0 years. Key Skills: Cryptography, Intrusion Detection, Network Security, Ethical Hacking. Key Skills: Cryptography, Intrusion Detection, Network Security, Ethical Hacking. Key Skills: Cryptography, Intrusion Detection, Network Security, Ethical Hacking. Relevant Certifications: Certified Ethical Hacker (CEH). "
Cybersecurity,Security Engineer,Entry,1,"['Intrusion Detection', 'Network Security', 'SIEM', 'Ethical Hacking', 'Malware Analysis', 'Cryptography', 'Firewalls', 'ISO 27001']","['Certified Ethical Hacker (CEH)', 'Certified Information Systems Security Professional (CISSP)', 'CompTIA Security+']","Job Title: Security Engineer Job Title: Security Engineer Job Title: Security Engineer Career Level: Entry Career Level: Entry Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 1 years. Key Skills: Intrusion Detection, Network Security, SIEM, Ethical Hacking, Malware Analysis, Cryptography, Firewalls, ISO 27001. Key Skills: Intrusion Detection, Network Security, SIEM, Ethical Hacking, Malware Analysis, Cryptography, Firewalls, ISO 27001. Key Skills: Intrusion Detection, Network Security, SIEM, Ethical Hacking, Malware Analysis, Cryptography, Firewalls, ISO 27001. Relevant Certifications: Certified Ethical Hacker (CEH), Certified Information Systems Security Professional (CISSP), CompTIA Security+. "
Data Science,Data Science Manager,Manager,15,"['R', 'Data Mining', 'Statistics', 'Scikit-learn', 'PyTorch', 'Python', 'Big Data', 'Pandas']",[],"Job Title: Data Science Manager Job Title: Data Science Manager Job Title: Data Science Manager Career Level: Manager Career Level: Manager Industry: Data Science Industry: Data Science Years of Experience: approximately 15 years. Key Skills: R, Data Mining, Statistics, Scikit-learn, PyTorch, Python, Big Data, Pandas. Key Skills: R, Data Mining, Statistics, Scikit-learn, PyTorch, Python, Big Data, Pandas. Key Skills: R, Data Mining, Statistics, Scikit-learn, PyTorch, Python, Big Data, Pandas. "
Product Management,Group Product Manager,Manager,15,"['User Research', 'Roadmapping', 'A/B Testing', 'Agile', 'Product Strategy', 'Market Analysis']",['Certified Scrum Product Owner (CSPO)'],"Job Title: Group Product Manager Job Title: Group Product Manager Job Title: Group Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 15 years. Key Skills: User Research, Roadmapping, A/B Testing, Agile, Product Strategy, Market Analysis. Key Skills: User Research, Roadmapping, A/B Testing, Agile, Product Strategy, Market Analysis. Key Skills: User Research, Roadmapping, A/B Testing, Agile, Product Strategy, Market Analysis. Relevant Certifications: Certified Scrum Product Owner (CSPO). "
Cloud Engineering,Cloud Engineer,Mid-Level,5,"['Prometheus', 'Terraform', 'GCP', 'Azure']","['Microsoft Certified: Azure Administrator', 'Certified Kubernetes Administrator (CKA)', 'Google Certified Professional Cloud Architect']","Job Title: Cloud Engineer Job Title: Cloud Engineer Job Title: Cloud Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 5 years. Key Skills: Prometheus, Terraform, GCP, Azure. Key Skills: Prometheus, Terraform, GCP, Azure. Key Skills: Prometheus, Terraform, GCP, Azure. Relevant Certifications: Microsoft Certified: Azure Administrator, Certified Kubernetes Administrator (CKA), Google Certified Professional Cloud Architect. "
Cybersecurity,Security Engineer,Mid-Level,2,"['ISO 27001', 'Ethical Hacking', 'Malware Analysis', 'Network Security', 'Firewalls', 'Cryptography']",['Certified Ethical Hacker (CEH)'],"Job Title: Security Engineer Job Title: Security Engineer Job Title: Security Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 2 years. Key Skills: ISO 27001, Ethical Hacking, Malware Analysis, Network Security, Firewalls, Cryptography. Key Skills: ISO 27001, Ethical Hacking, Malware Analysis, Network Security, Firewalls, Cryptography. Key Skills: ISO 27001, Ethical Hacking, Malware Analysis, Network Security, Firewalls, Cryptography. Relevant Certifications: Certified Ethical Hacker (CEH). "
Cybersecurity,Security Engineer,Mid-Level,4,"['SIEM', 'ISO 27001', 'Cryptography', 'Malware Analysis', 'Network Security', 'Intrusion Detection', 'Ethical Hacking', 'Firewalls']","['Certified Ethical Hacker (CEH)', 'Certified Information Systems Security Professional (CISSP)']","Job Title: Security Engineer Job Title: Security Engineer Job Title: Security Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 4 years. Key Skills: SIEM, ISO 27001, Cryptography, Malware Analysis, Network Security, Intrusion Detection, Ethical Hacking, Firewalls. Key Skills: SIEM, ISO 27001, Cryptography, Malware Analysis, Network Security, Intrusion Detection, Ethical Hacking, Firewalls. Key Skills: SIEM, ISO 27001, Cryptography, Malware Analysis, Network Security, Intrusion Detection, Ethical Hacking, Firewalls. Relevant Certifications: Certified Ethical Hacker (CEH), Certified Information Systems Security Professional (CISSP). "
Product Management,Group Product Manager,Manager,17,"['Market Analysis', 'Roadmapping', 'Agile', 'User Research', 'JIRA', 'A/B Testing']",['Pragmatic Marketing Certified (PMC)'],"Job Title: Group Product Manager Job Title: Group Product Manager Job Title: Group Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 17 years. Key Skills: Market Analysis, Roadmapping, Agile, User Research, JIRA, A/B Testing. Key Skills: Market Analysis, Roadmapping, Agile, User Research, JIRA, A/B Testing. Key Skills: Market Analysis, Roadmapping, Agile, User Research, JIRA, A/B Testing. Relevant Certifications: Pragmatic Marketing Certified (PMC). "
Product Management,Product Manager,Manager,10,"['Roadmapping', 'A/B Testing', 'Agile', 'Product Strategy', 'Scrum', 'Market Analysis', 'JIRA']",[],"Job Title: Product Manager Job Title: Product Manager Job Title: Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 10 years. Key Skills: Roadmapping, A/B Testing, Agile, Product Strategy, Scrum, Market Analysis, JIRA. Key Skills: Roadmapping, A/B Testing, Agile, Product Strategy, Scrum, Market Analysis, JIRA. Key Skills: Roadmapping, A/B Testing, Agile, Product Strategy, Scrum, Market Analysis, JIRA. "
Cloud Engineering,Cloud Architect,Entry,0,"['AWS', 'Ansible', 'GCP', 'Jenkins']",[],"Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 0 years. Key Skills: AWS, Ansible, GCP, Jenkins. Key Skills: AWS, Ansible, GCP, Jenkins. Key Skills: AWS, Ansible, GCP, Jenkins. "
Software Engineering,Staff Software Engineer,Lead/Principal,12,"['AWS', 'Go', 'Node.js', 'Java', 'Python', 'MongoDB']",['Certified Kubernetes Application Developer (CKAD)'],"Job Title: Staff Software Engineer Job Title: Staff Software Engineer Job Title: Staff Software Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 12 years. Key Skills: AWS, Go, Node.js, Java, Python, MongoDB. Key Skills: AWS, Go, Node.js, Java, Python, MongoDB. Key Skills: AWS, Go, Node.js, Java, Python, MongoDB. Relevant Certifications: Certified Kubernetes Application Developer (CKAD). "
Cybersecurity,Security Analyst,Mid-Level,5,"['Malware Analysis', 'Cryptography', 'ISO 27001', 'Ethical Hacking', 'Network Security']",[],"Job Title: Security Analyst Job Title: Security Analyst Job Title: Security Analyst Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 5 years. Key Skills: Malware Analysis, Cryptography, ISO 27001, Ethical Hacking, Network Security. Key Skills: Malware Analysis, Cryptography, ISO 27001, Ethical Hacking, Network Security. Key Skills: Malware Analysis, Cryptography, ISO 27001, Ethical Hacking, Network Security. "
Cloud Engineering,DevOps Engineer,Entry,2,"['Docker', 'CI/CD', 'Prometheus', 'Grafana', 'Terraform']","['Certified Kubernetes Administrator (CKA)', 'AWS Certified Solutions Architect']","Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: Docker, CI/CD, Prometheus, Grafana, Terraform. Key Skills: Docker, CI/CD, Prometheus, Grafana, Terraform. Key Skills: Docker, CI/CD, Prometheus, Grafana, Terraform. Relevant Certifications: Certified Kubernetes Administrator (CKA), AWS Certified Solutions Architect. "
Data Science,Lead Data Scientist,Senior,9,"['TensorFlow', 'NumPy', 'PyTorch', 'Statistics', 'SQL', 'Python', 'Data Mining', 'R']","['TensorFlow Developer Certificate', 'Google Professional Data Engineer']","Job Title: Lead Data Scientist Job Title: Lead Data Scientist Job Title: Lead Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 9 years. Key Skills: TensorFlow, NumPy, PyTorch, Statistics, SQL, Python, Data Mining, R. Key Skills: TensorFlow, NumPy, PyTorch, Statistics, SQL, Python, Data Mining, R. Key Skills: TensorFlow, NumPy, PyTorch, Statistics, SQL, Python, Data Mining, R. Relevant Certifications: TensorFlow Developer Certificate, Google Professional Data Engineer. "
Software Engineering,Engineering Manager,Manager,20,"['Docker', 'JavaScript', 'SQL', 'System Design', 'Java', 'AWS']",[],"Job Title: Engineering Manager Job Title: Engineering Manager Job Title: Engineering Manager Career Level: Manager Career Level: Manager Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 20 years. Key Skills: Docker, JavaScript, SQL, System Design, Java, AWS. Key Skills: Docker, JavaScript, SQL, System Design, Java, AWS. Key Skills: Docker, JavaScript, SQL, System Design, Java, AWS. "
Data Science,Data Science Manager,Manager,10,"['Pandas', 'Python', 'Data Mining', 'Statistics']",[],"Job Title: Data Science Manager Job Title: Data Science Manager Job Title: Data Science Manager Career Level: Manager Career Level: Manager Industry: Data Science Industry: Data Science Years of Experience: approximately 10 years. Key Skills: Pandas, Python, Data Mining, Statistics. Key Skills: Pandas, Python, Data Mining, Statistics. Key Skills: Pandas, Python, Data Mining, Statistics. "
Data Science,Senior Data Scientist,Senior,8,"['Spark', 'SQL', 'TensorFlow', 'PyTorch', 'Scikit-learn', 'Statistics']",[],"Job Title: Senior Data Scientist Job Title: Senior Data Scientist Job Title: Senior Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 8 years. Key Skills: Spark, SQL, TensorFlow, PyTorch, Scikit-learn, Statistics. Key Skills: Spark, SQL, TensorFlow, PyTorch, Scikit-learn, Statistics. Key Skills: Spark, SQL, TensorFlow, PyTorch, Scikit-learn, Statistics. "
Cloud Engineering,Cloud Engineer,Entry,1,"['CI/CD', 'GCP', 'Terraform', 'AWS', 'Grafana', 'Prometheus']","['Microsoft Certified: Azure Administrator', 'Certified Kubernetes Administrator (CKA)', 'AWS Certified Solutions Architect', 'Google Certified Professional Cloud Architect']","Job Title: Cloud Engineer Job Title: Cloud Engineer Job Title: Cloud Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 1 years. Key Skills: CI/CD, GCP, Terraform, AWS, Grafana, Prometheus. Key Skills: CI/CD, GCP, Terraform, AWS, Grafana, Prometheus. Key Skills: CI/CD, GCP, Terraform, AWS, Grafana, Prometheus. Relevant Certifications: Microsoft Certified: Azure Administrator, Certified Kubernetes Administrator (CKA), AWS Certified Solutions Architect, Google Certified Professional Cloud Architect. "
Cybersecurity,Cybersecurity Consultant,Entry,0,"['SIEM', 'ISO 27001', 'Cryptography', 'Firewalls', 'Network Security', 'Intrusion Detection']","['Certified Information Systems Security Professional (CISSP)', 'Certified Ethical Hacker (CEH)', 'CompTIA Security+']","Job Title: Cybersecurity Consultant Job Title: Cybersecurity Consultant Job Title: Cybersecurity Consultant Career Level: Entry Career Level: Entry Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 0 years. Key Skills: SIEM, ISO 27001, Cryptography, Firewalls, Network Security, Intrusion Detection. Key Skills: SIEM, ISO 27001, Cryptography, Firewalls, Network Security, Intrusion Detection. Key Skills: SIEM, ISO 27001, Cryptography, Firewalls, Network Security, Intrusion Detection. Relevant Certifications: Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker (CEH), CompTIA Security+. "
Data Science,Data Scientist,Entry,1,"['Statistics', 'Scikit-learn', 'Spark', 'SQL', 'Python', 'NumPy']",[],"Job Title: Data Scientist Job Title: Data Scientist Job Title: Data Scientist Career Level: Entry Career Level: Entry Industry: Data Science Industry: Data Science Years of Experience: approximately 1 years. Key Skills: Statistics, Scikit-learn, Spark, SQL, Python, NumPy. Key Skills: Statistics, Scikit-learn, Spark, SQL, Python, NumPy. Key Skills: Statistics, Scikit-learn, Spark, SQL, Python, NumPy. "
